book,chapter,section,agent.phrase,agent.pp,perfect,agent.nominality,subject.animacy,participle,agent.realization,lemma
6,58,3,DAT,NA,NON.PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,ἵστημι
6,61,4,PP,EK,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἀπαγορεύω
6,73,1,DAT,NA,NON.PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ὁδόω
6,74,2,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,λέγω
6,76,1,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,καλέω
6,79,1,DAT,NA,PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,τάσσω
6,82,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,ποιέω
6,85,1,PP,HYPO,PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,περιυβρίζω
6,92,1,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,λαμβάνω
6,92,2,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἐπιβάλλω
6,94,1,DAT,NA,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,συνάπτω
6,97,2,PP,EK,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἐπιστέλλω
6,104,2,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,αἱρέω
6,106,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,πέμπω
6,108,2,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,πιέζω
6,112,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,διατάσσω
6,121,2,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,κηρύσσω
6,123,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,δηλόω
6,124,2,PP,EK,NON.PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,STRESSED.PRO,ἀναδείκνυμι
6,130,2,DAT,NA,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,κυρόω
6,137,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἐκβάλλω
6,138,2,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,τύπτω
7,1,3,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,δουλόω
7,6,3,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἐξελαύνω
7,6,4,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ζεύγνυμι
7,9A,2,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,κελεύω
7,10D,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,βουλεύω
7,10E,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,διαφθείρω
7,10G,2,PP,HYPO,NON.PERFECT,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,διαβάλλω
7,10G,2,PP,PROS,NON.PERFECT,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,νομίζω
7,10H,3,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,διαφορέω
7,10H,3,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,διαφορέω
7,11,2,PP,EK,PERFECT,PRONOUN,INANIMATE,PARTICIPLE,STRESSED.PRO,ὑπάρχω
7,12,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,PARTICIPLE,ENCLITIC.PRO,δοκέω
7,12,1,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,λέγω
7,16A,1,PP,PARA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,STRESSED.PRO,κρίνω
7,16C,3,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,δοκέω
7,16C,3,PP,EK,NON.PERFECT,PRONOUN,INANIMATE,PARTICIPLE,STRESSED.PRO,ἐπιτελέω
7,18,3,PP,EK,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,πέμπω
7,18,3,PP,EK,PERFECT,PRONOUN,INANIMATE,PARTICIPLE,STRESSED.PRO,προερέω
7,22,2,PP,HYPO,PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,οἰκέω
7,26,3,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,ἐκδέρω
7,26,3,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἀνακρεμάννυμι
